study,sample,class
GSE10072,GSM254625,Tumor
GSE10072,GSM254626,Normal
GSE10072,GSM254627,Tumor
GSE10072,GSM254628,Normal
GSE10072,GSM254629,Tumor
GSE10072,GSM254630,Tumor
GSE10072,GSM254631,Tumor
GSE10072,GSM254632,Normal
GSE10072,GSM254633,Tumor
GSE10072,GSM254634,Normal
GSE10072,GSM254635,Normal
GSE10072,GSM254636,Tumor
GSE10072,GSM254637,Tumor
GSE10072,GSM254638,Normal
GSE10072,GSM254639,Tumor
GSE10072,GSM254640,Normal
GSE10072,GSM254641,Tumor
GSE10072,GSM254642,Tumor
GSE10072,GSM254643,Normal
GSE10072,GSM254644,Normal
GSE10072,GSM254645,Tumor
GSE10072,GSM254646,Normal
GSE10072,GSM254647,Tumor
GSE10072,GSM254648,Tumor
GSE10072,GSM254649,Normal
GSE10072,GSM254650,Tumor
GSE10072,GSM254651,Normal
GSE10072,GSM254652,Tumor
GSE10072,GSM254653,Normal
GSE10072,GSM254654,Tumor
GSE10072,GSM254655,Normal
GSE10072,GSM254656,Tumor
GSE10072,GSM254657,Tumor
GSE10072,GSM254658,Normal
GSE10072,GSM254659,Tumor
GSE10072,GSM254660,Normal
GSE10072,GSM254661,Tumor
GSE10072,GSM254662,Normal
GSE10072,GSM254663,Tumor
GSE10072,GSM254664,Tumor
GSE10072,GSM254665,Normal
GSE10072,GSM254666,Tumor
GSE10072,GSM254667,Normal
GSE10072,GSM254668,Tumor
GSE10072,GSM254669,Normal
GSE10072,GSM254670,Tumor
GSE10072,GSM254671,Normal
GSE10072,GSM254672,Tumor
GSE10072,GSM254673,Normal
GSE10072,GSM254674,Tumor
GSE10072,GSM254675,Tumor
GSE10072,GSM254676,Normal
GSE10072,GSM254677,Normal
GSE10072,GSM254678,Tumor
GSE10072,GSM254679,Normal
GSE10072,GSM254680,Tumor
GSE10072,GSM254681,Normal
GSE10072,GSM254682,Tumor
GSE10072,GSM254683,Normal
GSE10072,GSM254684,Tumor
GSE10072,GSM254685,Normal
GSE10072,GSM254686,Tumor
GSE10072,GSM254687,Tumor
GSE10072,GSM254688,Tumor
GSE10072,GSM254689,Normal
GSE10072,GSM254690,Tumor
GSE10072,GSM254691,Normal
GSE10072,GSM254692,Tumor
GSE10072,GSM254693,Normal
GSE10072,GSM254694,Tumor
GSE10072,GSM254695,Normal
GSE10072,GSM254696,Tumor
GSE10072,GSM254697,Tumor
GSE10072,GSM254698,Tumor
GSE10072,GSM254699,Normal
GSE10072,GSM254700,Tumor
GSE10072,GSM254701,Tumor
GSE10072,GSM254702,Normal
GSE10072,GSM254703,Normal
GSE10072,GSM254704,Tumor
GSE10072,GSM254705,Tumor
GSE10072,GSM254706,Normal
GSE10072,GSM254707,Tumor
GSE10072,GSM254708,Normal
GSE10072,GSM254709,Tumor
GSE10072,GSM254710,Normal
GSE10072,GSM254711,Normal
GSE10072,GSM254712,Normal
GSE10072,GSM254713,Normal
GSE10072,GSM254714,Tumor
GSE10072,GSM254715,Normal
GSE10072,GSM254716,Tumor
GSE10072,GSM254717,Normal
GSE10072,GSM254718,Tumor
GSE10072,GSM254719,Normal
GSE10072,GSM254720,Tumor
GSE10072,GSM254721,Tumor
GSE10072,GSM254722,Tumor
GSE10072,GSM254723,Normal
GSE10072,GSM254724,Tumor
GSE10072,GSM254725,Normal
GSE10072,GSM254726,Tumor
GSE10072,GSM254727,Normal
GSE10072,GSM254728,Tumor
GSE10072,GSM254729,Tumor
GSE10072,GSM254730,Normal
GSE10072,GSM254731,Normal
GSE19804,GSM494556,Tumor
GSE19804,GSM494557,Tumor
GSE19804,GSM494558,Tumor
GSE19804,GSM494559,Tumor
GSE19804,GSM494560,Tumor
GSE19804,GSM494561,Tumor
GSE19804,GSM494562,Tumor
GSE19804,GSM494563,Tumor
GSE19804,GSM494564,Tumor
GSE19804,GSM494565,Tumor
GSE19804,GSM494566,Tumor
GSE19804,GSM494567,Tumor
GSE19804,GSM494568,Tumor
GSE19804,GSM494569,Tumor
GSE19804,GSM494570,Tumor
GSE19804,GSM494571,Tumor
GSE19804,GSM494572,Tumor
GSE19804,GSM494573,Tumor
GSE19804,GSM494574,Tumor
GSE19804,GSM494575,Tumor
GSE19804,GSM494576,Tumor
GSE19804,GSM494577,Tumor
GSE19804,GSM494578,Tumor
GSE19804,GSM494579,Tumor
GSE19804,GSM494580,Tumor
GSE19804,GSM494581,Tumor
GSE19804,GSM494582,Tumor
GSE19804,GSM494583,Tumor
GSE19804,GSM494584,Tumor
GSE19804,GSM494585,Tumor
GSE19804,GSM494586,Tumor
GSE19804,GSM494587,Tumor
GSE19804,GSM494588,Tumor
GSE19804,GSM494589,Tumor
GSE19804,GSM494590,Tumor
GSE19804,GSM494591,Tumor
GSE19804,GSM494592,Tumor
GSE19804,GSM494593,Tumor
GSE19804,GSM494594,Tumor
GSE19804,GSM494595,Tumor
GSE19804,GSM494596,Tumor
GSE19804,GSM494597,Tumor
GSE19804,GSM494598,Tumor
GSE19804,GSM494599,Tumor
GSE19804,GSM494600,Tumor
GSE19804,GSM494601,Tumor
GSE19804,GSM494602,Tumor
GSE19804,GSM494603,Tumor
GSE19804,GSM494604,Tumor
GSE19804,GSM494605,Tumor
GSE19804,GSM494606,Tumor
GSE19804,GSM494607,Tumor
GSE19804,GSM494608,Tumor
GSE19804,GSM494609,Tumor
GSE19804,GSM494610,Tumor
GSE19804,GSM494611,Tumor
GSE19804,GSM494612,Tumor
GSE19804,GSM494613,Tumor
GSE19804,GSM494614,Tumor
GSE19804,GSM494615,Tumor
GSE19804,GSM494616,Normal
GSE19804,GSM494617,Normal
GSE19804,GSM494618,Normal
GSE19804,GSM494619,Normal
GSE19804,GSM494620,Normal
GSE19804,GSM494621,Normal
GSE19804,GSM494622,Normal
GSE19804,GSM494623,Normal
GSE19804,GSM494624,Normal
GSE19804,GSM494625,Normal
GSE19804,GSM494626,Normal
GSE19804,GSM494627,Normal
GSE19804,GSM494628,Normal
GSE19804,GSM494629,Normal
GSE19804,GSM494630,Normal
GSE19804,GSM494631,Normal
GSE19804,GSM494632,Normal
GSE19804,GSM494633,Normal
GSE19804,GSM494634,Normal
GSE19804,GSM494635,Normal
GSE19804,GSM494636,Normal
GSE19804,GSM494637,Normal
GSE19804,GSM494638,Normal
GSE19804,GSM494639,Normal
GSE19804,GSM494640,Normal
GSE19804,GSM494641,Normal
GSE19804,GSM494642,Normal
GSE19804,GSM494643,Normal
GSE19804,GSM494644,Normal
GSE19804,GSM494645,Normal
GSE19804,GSM494646,Normal
GSE19804,GSM494647,Normal
GSE19804,GSM494648,Normal
GSE19804,GSM494649,Normal
GSE19804,GSM494650,Normal
GSE19804,GSM494651,Normal
GSE19804,GSM494652,Normal
GSE19804,GSM494653,Normal
GSE19804,GSM494654,Normal
GSE19804,GSM494655,Normal
GSE19804,GSM494656,Normal
GSE19804,GSM494657,Normal
GSE19804,GSM494658,Normal
GSE19804,GSM494659,Normal
GSE19804,GSM494660,Normal
GSE19804,GSM494661,Normal
GSE19804,GSM494662,Normal
GSE19804,GSM494663,Normal
GSE19804,GSM494664,Normal
GSE19804,GSM494665,Normal
GSE19804,GSM494666,Normal
GSE19804,GSM494667,Normal
GSE19804,GSM494668,Normal
GSE19804,GSM494669,Normal
GSE19804,GSM494670,Normal
GSE19804,GSM494671,Normal
GSE19804,GSM494672,Normal
GSE19804,GSM494673,Normal
GSE19804,GSM494674,Normal
GSE19804,GSM494675,Normal
GSE19188,GSM475656,tumor
GSE19188,GSM475657,Normal
GSE19188,GSM475658,Normal
GSE19188,GSM475659,Normal
GSE19188,GSM475660,Normal
GSE19188,GSM475661,tumor
GSE19188,GSM475662,tumor
GSE19188,GSM475663,Normal
GSE19188,GSM475664,tumor
GSE19188,GSM475665,Normal
GSE19188,GSM475666,Normal
GSE19188,GSM475667,Normal
GSE19188,GSM475668,tumor
GSE19188,GSM475669,Normal
GSE19188,GSM475670,tumor
GSE19188,GSM475671,Normal
GSE19188,GSM475672,tumor
GSE19188,GSM475673,Normal
GSE19188,GSM475674,tumor
GSE19188,GSM475675,Normal
GSE19188,GSM475676,tumor
GSE19188,GSM475677,tumor
GSE19188,GSM475678,Normal
GSE19188,GSM475679,tumor
GSE19188,GSM475680,Normal
GSE19188,GSM475681,tumor
GSE19188,GSM475682,Normal
GSE19188,GSM475683,tumor
GSE19188,GSM475684,Normal
GSE19188,GSM475685,tumor
GSE19188,GSM475686,Normal
GSE19188,GSM475687,tumor
GSE19188,GSM475688,Normal
GSE19188,GSM475689,tumor
GSE19188,GSM475690,Normal
GSE19188,GSM475691,tumor
GSE19188,GSM475692,tumor
GSE19188,GSM475693,Normal
GSE19188,GSM475694,tumor
GSE19188,GSM475695,Normal
GSE19188,GSM475696,tumor
GSE19188,GSM475697,Normal
GSE19188,GSM475698,tumor
GSE19188,GSM475699,Normal
GSE19188,GSM475700,tumor
GSE19188,GSM475701,tumor
GSE19188,GSM475702,Normal
GSE19188,GSM475703,tumor
GSE19188,GSM475704,Normal
GSE19188,GSM475705,Normal
GSE19188,GSM475706,tumor
GSE19188,GSM475707,Normal
GSE19188,GSM475708,tumor
GSE19188,GSM475709,tumor
GSE19188,GSM475710,tumor
GSE19188,GSM475711,Normal
GSE19188,GSM475712,tumor
GSE19188,GSM475713,tumor
GSE19188,GSM475714,Normal
GSE19188,GSM475715,tumor
GSE19188,GSM475716,Normal
GSE19188,GSM475717,tumor
GSE19188,GSM475718,Normal
GSE19188,GSM475719,tumor
GSE19188,GSM475720,tumor
GSE19188,GSM475721,Normal
GSE19188,GSM475722,tumor
GSE19188,GSM475723,Normal
GSE19188,GSM475724,tumor
GSE19188,GSM475725,Normal
GSE19188,GSM475726,Normal
GSE19188,GSM475727,tumor
GSE19188,GSM475728,tumor
GSE19188,GSM475729,Normal
GSE19188,GSM475730,tumor
GSE19188,GSM475731,tumor
GSE19188,GSM475732,Normal
GSE19188,GSM475733,tumor
GSE19188,GSM475734,Normal
GSE19188,GSM475735,tumor
GSE19188,GSM475736,Normal
GSE19188,GSM475737,tumor
GSE19188,GSM475738,Normal
GSE19188,GSM475739,tumor
GSE19188,GSM475740,Normal
GSE19188,GSM475741,tumor
GSE19188,GSM475742,Normal
GSE19188,GSM475743,Normal
GSE19188,GSM475744,tumor
GSE19188,GSM475745,Normal
GSE19188,GSM475746,Normal
GSE19188,GSM475747,tumor
GSE19188,GSM475748,tumor
GSE19188,GSM475749,Normal
GSE19188,GSM475750,Normal
GSE19188,GSM475751,tumor
GSE19188,GSM475752,Normal
GSE19188,GSM475753,tumor
GSE19188,GSM475754,Normal
GSE19188,GSM475755,Normal
GSE19188,GSM475756,tumor
GSE19188,GSM475757,Normal
GSE19188,GSM475758,tumor
GSE19188,GSM475759,tumor
GSE19188,GSM475760,tumor
GSE19188,GSM475761,tumor
GSE19188,GSM475762,tumor
GSE19188,GSM475763,tumor
GSE19188,GSM475764,Normal
GSE19188,GSM475765,tumor
GSE19188,GSM475766,Normal
GSE19188,GSM475767,Normal
GSE19188,GSM475768,tumor
GSE19188,GSM475769,tumor
GSE19188,GSM475770,tumor
GSE19188,GSM475771,Normal
GSE19188,GSM475772,tumor
GSE19188,GSM475773,tumor
GSE19188,GSM475774,tumor
GSE19188,GSM475775,Normal
GSE19188,GSM475776,tumor
GSE19188,GSM475777,tumor
GSE19188,GSM475778,tumor
GSE19188,GSM475779,tumor
GSE19188,GSM475780,tumor
GSE19188,GSM475781,Normal
GSE19188,GSM475782,tumor
GSE19188,GSM475783,Normal
GSE19188,GSM475784,tumor
GSE19188,GSM475785,tumor
GSE19188,GSM475786,Normal
GSE19188,GSM475787,tumor
GSE19188,GSM475788,tumor
GSE19188,GSM475789,tumor
GSE19188,GSM475790,Normal
GSE19188,GSM475791,tumor
GSE19188,GSM475792,tumor
GSE19188,GSM475793,tumor
GSE19188,GSM475794,tumor
GSE19188,GSM475795,tumor
GSE19188,GSM475796,tumor
GSE19188,GSM475797,tumor
GSE19188,GSM475798,Normal
GSE19188,GSM475799,tumor
GSE19188,GSM475800,Normal
GSE19188,GSM475801,tumor
GSE19188,GSM475802,tumor
GSE19188,GSM475803,tumor
GSE19188,GSM475804,tumor
GSE19188,GSM475805,tumor
GSE19188,GSM475806,tumor
GSE19188,GSM475807,Normal
GSE19188,GSM475808,tumor
GSE19188,GSM475809,Normal
GSE19188,GSM475810,tumor
GSE19188,GSM475811,Normal
